team_abbr,city,mascot,division,conference,espn_api_id,primary_color,secondary_color
ARI,Arizona,Cardinals,NFC West,NFC,22,#97233F,#000000
ATL,Atlanta,Falcons,NFC South,NFC,1,#A71930,#000000
BAL,Baltimore,Ravens,AFC North,AFC,33,#241773,#000000
BUF,Buffalo,Bills,AFC East,AFC,2,#00338D,#C60C30
CAR,Carolina,Panthers,NFC South,NFC,29,#0085CA,#101820
CHI,Chicago,Bears,NFC North,NFC,3,#0B162A,#C83803
CIN,Cincinnati,Bengals,AFC North,AFC,4,#FB4F14,#000000
CLE,Cleveland,Browns,AFC North,AFC,5,#311D00,#FF3C00
DAL,Dallas,Cowboys,NFC East,NFC,6,#003594,#041E42
DEN,Denver,Broncos,AFC West,AFC,7,#FB4F14,#002244
DET,Detroit,Lions,NFC North,NFC,8,#0076B6,#B0B7BC
GB,Green Bay,Packers,NFC North,NFC,9,#203731,#FFB612
HOU,Houston,Texans,AFC South,AFC,34,#03202F,#A71930
IND,Indianapolis,Colts,AFC South,AFC,11,#002C5F,#A2AAAD
JAX,Jacksonville,Jaguars,AFC South,AFC,30,#006778,#9F792C
KC,Kansas City,Chiefs,AFC West,AFC,12,#E31837,#FFB81C
LAC,Los Angeles,Chargers,AFC West,AFC,24,#0080C6,#FFC20E
LAR,Los Angeles,Rams,NFC West,NFC,14,#003594,#FFA300
LV,Las Vegas,Raiders,AFC West,AFC,13,#000000,#A5ACAF
MIA,Miami,Dolphins,AFC East,AFC,15,#008E97,#FC4C02
MIN,Minnesota,Vikings,NFC North,NFC,16,#4F2683,#FFC62F
NE,New England,Patriots,AFC East,AFC,17,#002244,#C60C30
NO,New Orleans,Saints,NFC South,NFC,18,#D3BC8D,#101820
NYG,New York,Giants,NFC East,NFC,19,#0B2265,#A71930
NYJ,New York,Jets,AFC East,AFC,20,#125740,#000000
PHI,Philadelphia,Eagles,NFC East,NFC,21,#004C54,#A5ACAF
PIT,Pittsburgh,Steelers,AFC North,AFC,23,#FFB612,#101820
SF,San Francisco,49ers,NFC West,NFC,25,#AA0000,#B3995D
SEA,Seattle,Seahawks,NFC West,NFC,26,#002244,#69BE28
TB,Tampa Bay,Buccaneers,NFC South,NFC,27,#D50A0A,#34302B
TEN,Tennessee,Titans,AFC South,AFC,10,#0C2340,#4B92DB
WAS,Washington,Commanders,NFC East,NFC,28,#773141,#FFB612
